year,state,home_ownership
2000,NY,53.4
2005,NY,55.9
2010,NY,54.5
2015,NY,51.5
2020,NY,53.6
2023,NY,53.3
1984,NV,58.9
1990,NV,55.8
1995,NV,58.6
2000,NV,64.0
2005,NV,63.4
2010,NV,59.7
2015,NV,54.8
2020,NV,61.2
2023,NV,61.2
1984,AK,57.6
1990,AK,58.4
1995,AK,60.9
2000,AK,66.4
2005,AK,66.0
2010,AK,65.7
2015,AK,62.3
2020,AK,64.1
2023,AK,64.3
1984,MI,72.7
1990,MI,72.3
1995,MI,72.2
2000,MI,77.2
2005,MI,76.4
2010,MI,74.5
2015,MI,74.6
2020,MI,74.3
2023,MI,74.1
1984,AR,65.9
1990,AR,67.8
1995,AR,67.2
2000,AR,68.9
2005,AR,69.2
2010,AR,67.9
2015,AR,67.1
2020,AR,68.8
2023,AR,65.9
1984,MS,72.3
1990,MS,69.4
1995,MS,71.1
2000,MS,75.2
2005,MS,78.8
2010,MS,74.8
2015,MS,70.7
2020,MS,74.2
2023,MS,75.5
1984,MO,69.5
1990,MO,64.0
1995,MO,69.4
2000,MO,74.2
2005,MO,72.3
2010,MO,71.2
2015,MO,68.5
2020,MO,71.1
2023,MO,68.7
1984,MT,66.4
1990,MT,69.1
1995,MT,68.7
2000,MT,70.2
2005,MT,70.4
2010,MT,68.1
2015,MT,66.4
2020,MT,68.4
2023,MT,71.0
1984,KS,72.7
1990,KS,69.0
1995,KS,67.5
2000,KS,69.3
2005,KS,69.5
2010,KS,67.4
2015,KS,64.9
2020,KS,69.5
2023,KS,68.5
1984,IN,69.9
1990,IN,67.0
1995,IN,71.0
2000,IN,74.9
2005,IN,75.0
2010,IN,71.2
2015,IN,69.4
2020,IN,72.7
2023,IN,73.3
1984,SD,69.6
1990,SD,66.2
1995,SD,67.5
2000,SD,71.2
2005,SD,68.4
2010,SD,70.6
2015,SD,70.1
2020,SD,71.4
2023,SD,69.3
1984,MA,61.7
1990,MA,58.6
1995,MA,60.2
2000,MA,59.9
2005,MA,63.4
2010,MA,65.3
2015,MA,60.5
2020,MA,62.7
2023,MA,61.9
1984,VA,68.3
1990,VA,69.8
1995,VA,68.1
2000,VA,73.9
2005,VA,71.2
2010,VA,68.7
2015,VA,67.1
2020,VA,70.4
2023,VA,69.1
1984,DC,37.3
1990,DC,36.4
1995,DC,39.2
2000,DC,41.9
2005,DC,45.8
2010,DC,45.6
2015,DC,40.4
2020,DC,42.5
2023,DC,40.2
1984,IA,71.3
1990,IA,70.7
1995,IA,71.4
2000,IA,75.2
2005,IA,73.9
2010,IA,71.1
2015,IA,68.8
2020,IA,72.1
2023,IA,71.8
1984,AZ,65.2
1990,AZ,64.5
1995,AZ,62.9
2000,AZ,68.0
2005,AZ,71.1
2010,AZ,66.6
2015,AZ,61.7
2020,AZ,68.7
2023,AZ,69.7
