year,state,home_ownership
2023,NH,74.3
1984,NC,68.8
1985,NC,68.0
1986,NC,68.2
1987,NC,68.4
1988,NC,68.3
1989,NC,69.4
1990,NC,69.0
1991,NC,69.3
1992,NC,68.6
1993,NC,68.8
1994,NC,68.7
1995,NC,70.1
1996,NC,70.4
1997,NC,70.2
1998,NC,71.3
1999,NC,71.7
2000,NC,71.1
2001,NC,71.3
2002,NC,70.0
2003,NC,70.0
2004,NC,69.8
2005,NC,70.9
2006,NC,70.2
2007,NC,70.3
2008,NC,69.4
2009,NC,70.1
2010,NC,69.5
2011,NC,68.3
2012,NC,67.2
2013,NC,67.3
2014,NC,66.4
2015,NC,65.2
2016,NC,65.7
2017,NC,66.3
2018,NC,65.2
2019,NC,65.1
2020,NC,68.7
2021,NC,65.8
2022,NC,65.9
2023,NC,66.9
1984,VT,66.9
1985,VT,69.5
1986,VT,69.8
1987,VT,70.5
1988,VT,68.7
1989,VT,69.7
1990,VT,72.6
1991,VT,70.8
1992,VT,70.8
1993,VT,68.5
1994,VT,69.4
1995,VT,70.4
1996,VT,70.3
1997,VT,69.1
1998,VT,69.1
1999,VT,69.1
2000,VT,68.7
2001,VT,69.8
2002,VT,70.3
2003,VT,71.4
2004,VT,72.0
2005,VT,74.2
2006,VT,74.0
2007,VT,73.7
2008,VT,72.8
2009,VT,74.3
2010,VT,73.6
2011,VT,74.6
2012,VT,73.4
2013,VT,73.0
2014,VT,73.5
2015,VT,71.8
2016,VT,71.3
2017,VT,71.1
2018,VT,71.4
2019,VT,70.9
2020,VT,73.1
2021,VT,73.9
2022,VT,72.7
2023,VT,73.7
1984,CT,67.8
1985,CT,69.0
1986,CT,68.1
1987,CT,67.0
1988,CT,66.5
1989,CT,66.4
1990,CT,67.9
1991,CT,65.5
1992,CT,66.1
1993,CT,64.5
1994,CT,63.8
1995,CT,68.2
1996,CT,69.0
1997,CT,68.1
1998,CT,69.3
1999,CT,69.1
2000,CT,70.0
2001,CT,71.8
2002,CT,71.5
2003,CT,73.0
2004,CT,71.7
2005,CT,70.5
2006,CT,71.1
2007,CT,70.3
2008,CT,70.7
2009,CT,70.5
2010,CT,70.8
2011,CT,70.6
2012,CT,68.8
2013,CT,68.5
2014,CT,67.4
2015,CT,66.5
2016,CT,64.2
2017,CT,66.1
2018,CT,65.3
2019,CT,64.3
2020,CT,66.9
2021,CT,66.1
2022,CT,64.8
2023,CT,68.2
1984,DE,70.4
1985,DE,70.3
1986,DE,71.0
1987,DE,71.1
1988,DE,70.1
1989,DE,68.7
1990,DE,67.7
1991,DE,70.2
1992,DE,73.8
1993,DE,74.1
1994,DE,70.5
1995,DE,71.7
1996,DE,71.5
1997,DE,69.2
1998,DE,71.0
1999,DE,71.6
2000,DE,72.0
2001,DE,75.4
2002,DE,75.6
2003,DE,77.2
2004,DE,77.3
2005,DE,75.8
2006,DE,76.8
2007,DE,76.8
2008,DE,76.2
2009,DE,76.5
2010,DE,74.7
2011,DE,74.2
2012,DE,73.4
2013,DE,74.1
2014,DE,74.3
2015,DE,73.3
2016,DE,73.0
2017,DE,70.0
2018,DE,70.8
2019,DE,73.1
2020,DE,77.9
2021,DE,73.5
2022,DE,74.9
2023,DE,75.7
1984,NM,68.0
1985,NM,68.2
1986,NM,67.8
1987,NM,67.2
1988,NM,65.4
1989,NM,65.5
1990,NM,68.6
1991,NM,69.5
1992,NM,70.5
1993,NM,69.1
1994,NM,66.8
1995,NM,67.0
1996,NM,67.1
1997,NM,69.6
1998,NM,71.3
1999,NM,72.6
2000,NM,73.7
2001,NM,70.8
2002,NM,70.0
2003,NM,70.3
2004,NM,71.5
2005,NM,71.4
2006,NM,72.0
2007,NM,71.5
2008,NM,70.4
2009,NM,69.1
2010,NM,68.6
2011,NM,69.1
2012,NM,66.8
2013,NM,67.3
2014,NM,66.3
2015,NM,66.5
2016,NM,67.4
2017,NM,66.6
2018,NM,68.0
2019,NM,67.4
2020,NM,70.3
2021,NM,69.0
2022,NM,71.1
2023,NM,70.3
1984,CA,53.7
1985,CA,54.2
1986,CA,53.8
1987,CA,54.3
1988,CA,54.4
1989,CA,53.6
1990,CA,53.8
1991,CA,54.5
1992,CA,55.3
1993,CA,56.0
1994,CA,55.5
1995,CA,55.4
1996,CA,55.0
1997,CA,55.7
1998,CA,56.0
1999,CA,55.7
2000,CA,57.1
2001,CA,58.2
2002,CA,57.7
2003,CA,58.9
2004,CA,59.7
2005,CA,59.7
2006,CA,60.2
2007,CA,58.3
2008,CA,57.5
2009,CA,57.0
2010,CA,56.1
2011,CA,55.3
2012,CA,54.5
2013,CA,54.3
2014,CA,54.2
2015,CA,54.3
2016,CA,53.8
2017,CA,54.4
2018,CA,55.1
2019,CA,54.8
2020,CA,55.9
2021,CA,54.2
2022,CA,55.3
2023,CA,55.8
1984,NJ,63.4
1985,NJ,62.3
1986,NJ,63.3
1987,NJ,64.0
1988,NJ,64.8
1989,NJ,65.7
1990,NJ,65.0
1991,NJ,64.8
1992,NJ,64.6
1993,NJ,64.5
1994,NJ,64.1
1995,NJ,64.9
1996,NJ,64.6
1997,NJ,63.1
1998,NJ,63.1
1999,NJ,64.5
2000,NJ,66.2
2001,NJ,66.5
2002,NJ,66.9
2003,NJ,66.9
2004,NJ,68.8
2005,NJ,70.1
2006,NJ,69.0
2007,NJ,68.3
2008,NJ,67.3
2009,NJ,65.9
2010,NJ,66.5
2011,NJ,66.4
2012,NJ,66.6
2013,NJ,64.9
2014,NJ,65.2
2015,NJ,64.0
2016,NJ,62.2
2017,NJ,64.1
2018,NJ,65.0
2019,NJ,65.0
2020,NJ,64.3
2021,NJ,62.7
2022,NJ,64.2
2023,NJ,62.7
1984,WI,65.2
1985,WI,63.8
1986,WI,66.5
1987,WI,68.2
1988,WI,68.0
1989,WI,69.3
1990,WI,68.3
1991,WI,68.9
1992,WI,69.4
1993,WI,65.7
1994,WI,64.2
1995,WI,67.5
1996,WI,68.2
1997,WI,68.3
1998,WI,70.1
1999,WI,70.9
2000,WI,71.8
2001,WI,72.3
2002,WI,72.2
2003,WI,72.8
2004,WI,73.3
2005,WI,71.1
2006,WI,70.2
2007,WI,70.5
2008,WI,70.4
2009,WI,70.4
2010,WI,71.0
2011,WI,68.5
2012,WI,67.5
2013,WI,68.5
2014,WI,67.8
2015,WI,66.6
2016,WI,67.7
2017,WI,68.0
2018,WI,67.9
2019,WI,66.1
2020,WI,67.9
2021,WI,68.3
2022,WI,70.0
2023,WI,69.2
1984,OR,61.9
1985,OR,61.5
1986,OR,63.9
1987,OR,64.6
1988,OR,64.0
1989,OR,63.4
1990,OR,64.4
1991,OR,65.2
1992,OR,64.3
1993,OR,63.8
1994,OR,63.9
1995,OR,63.2
1996,OR,63.1
1997,OR,61.0
1998,OR,63.4
1999,OR,64.3
2000,OR,65.3
2001,OR,65.8
2002,OR,66.2
2003,OR,68.0
2004,OR,69.0
2005,OR,68.2
2006,OR,68.1
2007,OR,65.7
2008,OR,66.2
2009,OR,68.2
2010,OR,66.3
2011,OR,66.4
2012,OR,66.1
2013,OR,64.2
2014,OR,62.8
2015,OR,61.1
2016,OR,62.6
2017,OR,61.8
2018,OR,62.0
2019,OR,62.4
2020,OR,65.2
2021,OR,65.8
2022,OR,64.9
2023,OR,64.1
1984,NE,69.3
1985,NE,68.5
1986,NE,68.3
1987,NE,66.8
1988,NE,66.6
