year,state,home_ownership
2003,ME,73.7
2004,ME,74.7
2005,ME,73.9
2006,ME,75.3
2007,ME,74.3
2008,ME,73.9
2009,ME,74.0
2010,ME,73.8
2011,ME,73.9
2012,ME,74.1
2013,ME,73.5
2014,ME,71.0
2015,ME,69.9
2016,ME,72.6
2017,ME,71.0
2018,ME,71.2
2019,ME,73.8
2020,ME,77.1
2021,ME,75.9
2022,ME,74.9
2023,ME,75.5
1984,NY,51.1
1985,NY,50.3
1986,NY,51.3
1987,NY,52.0
1988,NY,50.7
1989,NY,52.3
1990,NY,53.3
1991,NY,52.6
1992,NY,53.3
1993,NY,52.8
1994,NY,52.5
1995,NY,52.7
1996,NY,52.7
1997,NY,52.6
1998,NY,52.8
1999,NY,52.8
2000,NY,53.4
2001,NY,53.9
2002,NY,54.8
2003,NY,54.3
2004,NY,54.8
2005,NY,55.9
2006,NY,55.7
2007,NY,55.9
2008,NY,55.0
2009,NY,54.4
2010,NY,54.5
2011,NY,53.6
2012,NY,53.6
2013,NY,53.0
2014,NY,52.9
2015,NY,51.5
2016,NY,51.5
2017,NY,51.1
2018,NY,51.0
2019,NY,52.0
2020,NY,53.6
2021,NY,53.6
2022,NY,53.9
2023,NY,53.3
1984,NV,58.9
1985,NV,57.0
1986,NV,54.5
1987,NV,54.1
1988,NV,54.3
1989,NV,54.3
1990,NV,55.8
1991,NV,55.8
1992,NV,55.1
1993,NV,55.8
1994,NV,55.8
1995,NV,58.6
1996,NV,61.1
1997,NV,61.2
1998,NV,61.4
1999,NV,63.7
2000,NV,64.0
2001,NV,64.6
2002,NV,65.3
2003,NV,64.8
2004,NV,65.7
2005,NV,63.4
2006,NV,65.7
2007,NV,63.3
2008,NV,63.6
2009,NV,62.4
2010,NV,59.7
2011,NV,56.2
2012,NV,55.7
2013,NV,56.0
2014,NV,56.0
2015,NV,54.8
2016,NV,54.5
2017,NV,55.0
2018,NV,57.8
2019,NV,58.2
2020,NV,61.2
2021,NV,60.5
2022,NV,60.3
2023,NV,61.2
1984,AK,57.6
1985,AK,61.2
1986,AK,61.5
1987,AK,59.7
1988,AK,57.0
1989,AK,58.7
1990,AK,58.4
1991,AK,57.1
1992,AK,55.5
1993,AK,55.4
1994,AK,58.8
1995,AK,60.9
1996,AK,62.9
1997,AK,67.2
1998,AK,66.3
1999,AK,66.4
2000,AK,66.4
2001,AK,65.3
2002,AK,67.1
2003,AK,70.0
2004,AK,67.2
2005,AK,66.0
2006,AK,67.2
2007,AK,66.6
2008,AK,66.4
2009,AK,66.8
2010,AK,65.7
2011,AK,64.4
2012,AK,63.7
2013,AK,64.6
2014,AK,64.9
2015,AK,62.3
2016,AK,65.2
2017,AK,65.5
2018,AK,63.7
2019,AK,62.6
2020,AK,64.1
2021,AK,64.0
2022,AK,65.1
2023,AK,64.3
1984,MI,72.7
1985,MI,70.7
1986,MI,70.9
1987,MI,71.7
1988,MI,72.5
1989,MI,73.2
1990,MI,72.3
1991,MI,70.6
1992,MI,70.6
1993,MI,72.3
1994,MI,72.0
1995,MI,72.2
1996,MI,73.3
1997,MI,73.3
1998,MI,74.4
1999,MI,76.5
2000,MI,77.2
2001,MI,77.1
2002,MI,76.0
2003,MI,75.6
2004,MI,77.1
2005,MI,76.4
2006,MI,77.4
2007,MI,76.4
2008,MI,75.9
2009,MI,74.5
2010,MI,74.5
2011,MI,74.1
2012,MI,74.8
2013,MI,73.9
2014,MI,73.8
2015,MI,74.6
2016,MI,72.8
2017,MI,72.9
2018,MI,73.0
2019,MI,73.0
2020,MI,74.3
2021,MI,73.0
2022,MI,74.0
2023,MI,74.1
1984,AR,65.9
1985,AR,66.6
1986,AR,67.5
1987,AR,68.1
1988,AR,67.0
1989,AR,66.3
1990,AR,67.8
1991,AR,68.6
1992,AR,70.3
1993,AR,70.5
1994,AR,68.1
1995,AR,67.2
1996,AR,66.6
1997,AR,66.7
1998,AR,66.7
1999,AR,65.6
2000,AR,68.9
2001,AR,71.2
2002,AR,70.3
2003,AR,69.6
2004,AR,69.1
2005,AR,69.2
2006,AR,70.8
2007,AR,69.5
2008,AR,68.9
2009,AR,68.5
2010,AR,67.9
2011,AR,67.6
2012,AR,66.0
2013,AR,65.4
2014,AR,65.4
2015,AR,67.1
2016,AR,67.6
2017,AR,65.0
2018,AR,64.7
2019,AR,65.3
2020,AR,68.8
2021,AR,66.1
2022,AR,66.8
2023,AR,65.9
1984,MS,72.3
1985,MS,69.6
1986,MS,70.4
1987,MS,72.5
1988,MS,73.7
1989,MS,72.2
1990,MS,69.4
1991,MS,71.8
1992,MS,70.4
1993,MS,69.7
1994,MS,69.2
1995,MS,71.1
1996,MS,73.0
1997,MS,73.7
1998,MS,75.1
1999,MS,74.9
2000,MS,75.2
2001,MS,74.5
2002,MS,74.9
2003,MS,73.4
2004,MS,74.0
2005,MS,78.8
2006,MS,76.2
2007,MS,74.0
2008,MS,75.4
2009,MS,75.5
2010,MS,74.8
2011,MS,74.8
2012,MS,74.2
2013,MS,74.2
2014,MS,73.2
2015,MS,70.7
2016,MS,69.7
2017,MS,71.0
2018,MS,72.5
2019,MS,72.7
2020,MS,74.2
2021,MS,71.3
2022,MS,73.1
2023,MS,75.5
1984,MO,69.5
1985,MO,69.2
1986,MO,67.8
1987,MO,66.1
1988,MO,64.8
1989,MO,63.7
1990,MO,64.0
1991,MO,64.2
1992,MO,65.2
1993,MO,66.4
1994,MO,68.4
1995,MO,69.4
1996,MO,70.2
1997,MO,70.5
1998,MO,70.7
1999,MO,72.9
2000,MO,74.2
2001,MO,74.0
2002,MO,74.8
2003,MO,74.0
2004,MO,72.4
2005,MO,72.3
2006,MO,71.9
2007,MO,70.4
2008,MO,71.4
2009,MO,72.0
2010,MO,71.2
2011,MO,71.1
2012,MO,70.8
2013,MO,71.3
2014,MO,70.5
2015,MO,68.5
2016,MO,66.7
2017,MO,67.6
2018,MO,69.7
2019,MO,69.1
2020,MO,71.1
2021,MO,72.8
2022,MO,70.6
2023,MO,68.7
1984,MT,66.4
1985,MT,66.5
1986,MT,64.4
1987,MT,65.0
1988,MT,65.4
1989,MT,67.9
1990,MT,69.1
1991,MT,69.6
1992,MT,69.9
1993,MT,69.7
1994,MT,68.8
1995,MT,68.7
1996,MT,68.6
1997,MT,67.5
1998,MT,68.6
1999,MT,70.6
2000,MT,70.2
2001,MT,68.3
2002,MT,69.4
2003,MT,71.5
2004,MT,72.4
2005,MT,70.4
2006,MT,69.5
2007,MT,67.3
2008,MT,70.3
2009,MT,70.7
2010,MT,68.1
2011,MT,68.4
2012,MT,67.8
2013,MT,67.4
2014,MT,66.9
2015,MT,66.4
2016,MT,67.1
2017,MT,67.6
2018,MT,67.4
2019,MT,68.7
2020,MT,68.4
2021,MT,68.1
2022,MT,68.3
2023,MT,71.0
1984,KS,72.7
1985,KS,68.3
1986,KS,66.4
1987,KS,67.9
1988,KS,68.6
1989,KS,68.1
1990,KS,69.0
1991,KS,69.7
1992,KS,69.8
1993,KS,68.9
1994,KS,69.0
1995,KS,67.5
1996,KS,67.5
1997,KS,66.5
1998,KS,66.7
1999,KS,67.5
2000,KS,69.3
2001,KS,70.4
2002,KS,70.3
2003,KS,70.3
2004,KS,69.9
2005,KS,69.5
2006,KS,70.0
2007,KS,69.4
2008,KS,68.8
2009,KS,67.4
2010,KS,67.4
2011,KS,65.4
2012,KS,63.2
2013,KS,63.5
2014,KS,64.7
2015,KS,64.9
2016,KS,67.1
2017,KS,66.0
2018,KS,67.3
2019,KS,69.2
2020,KS,69.5
2021,KS,69.3
2022,KS,69.0
2023,KS,68.5
1984,IN,69.9
1985,IN,67.6
1986,IN,67.6
1987,IN,69.1
1988,IN,68.3
1989,IN,68.2
1990,IN,67.0
1991,IN,66.1
1992,IN,67.6
1993,IN,68.7
1994,IN,68.4
1995,IN,71.0
1996,IN,74.2
1997,IN,74.1
1998,IN,72.6
1999,IN,72.9
2000,IN,74.9
2001,IN,75.3
2002,IN,75.1
2003,IN,74.4
2004,IN,75.8
2005,IN,75.0
2006,IN,74.2
2007,IN,73.8
2008,IN,74.4
2009,IN,72.0
2010,IN,71.2
2011,IN,72.1
2012,IN,72.1
2013,IN,71.7
2014,IN,70.1
2015,IN,69.4
2016,IN,70.9
2017,IN,70.0
2018,IN,69.8
2019,IN,69.5
2020,IN,72.7
2021,IN,73.0
2022,IN,72.6
2023,IN,73.3
1984,SD,69.6
1985,SD,67.6
1986,SD,65.9
1987,SD,66.8
1988,SD,66.4
1989,SD,65.8
1990,SD,66.2
1991,SD,66.1
1992,SD,66.5
1993,SD,65.6
1994,SD,66.4
1995,SD,67.5
1996,SD,67.8
1997,SD,67.6
1998,SD,67.3
1999,SD,70.7
2000,SD,71.2
2001,SD,71.5
2002,SD,71.5
2003,SD,70.9
2004,SD,68.5
2005,SD,68.4
2006,SD,70.6
2007,SD,70.4
2008,SD,70.4
2009,SD,69.6
2010,SD,70.6
2011,SD,69.3
2012,SD,69.2
2013,SD,67.8
2014,SD,69.2
2015,SD,70.1
2016,SD,69.4
2017,SD,67.8
2018,SD,69.1
2019,SD,69.5
2020,SD,71.4
2021,SD,71.1
2022,SD,70.8
2023,SD,69.3
1984,MA,61.7
1985,MA,60.5
1986,MA,60.3
1987,MA,60.6
1988,MA,60.0
1989,MA,58.9
1990,MA,58.6
1991,MA,60.2
1992,MA,61.8
1993,MA,60.7
1994,MA,60.6
1995,MA,60.2
1996,MA,61.7
1997,MA,62.3
1998,MA,61.3
1999,MA,60.3
2000,MA,59.9
2001,MA,60.6
2002,MA,62.6
2003,MA,64.3
2004,MA,63.8
2005,MA,63.4
2006,MA,65.2
2007,MA,64.3
2008,MA,65.7
2009,MA,65.1
2010,MA,65.3
2011,MA,65.3
2012,MA,65.8
2013,MA,65.3
2014,MA,63.0
2015,MA,60.5
2016,MA,59.7
2017,MA,60.0
2018,MA,61.5
2019,MA,61.3
2020,MA,62.7
2021,MA,62.0
2022,MA,61.2
2023,MA,61.9
1984,VA,68.3
1985,VA,68.5
1986,VA,68.2
1987,VA,69.0
1988,VA,69.8
1989,VA,70.2
1990,VA,69.8
1991,VA,68.9
1992,VA,67.8
1993,VA,68.5
1994,VA,69.3
1995,VA,68.1
1996,VA,68.5
1997,VA,68.4
1998,VA,69.4
1999,VA,71.2
2000,VA,73.9
2001,VA,75.1
2002,VA,74.4
2003,VA,75.0
2004,VA,73.4
2005,VA,71.2
2006,VA,71.1
2007,VA,71.5
2008,VA,70.6
2009,VA,69.7
2010,VA,68.7
2011,VA,67.9
2012,VA,67.8
2013,VA,68.1
2014,VA,68.7
2015,VA,67.1
2016,VA,66.3
2017,VA,67.5
2018,VA,66.0
2019,VA,67.6
2020,VA,70.4
2021,VA,68.0
2022,VA,67.4
2023,VA,69.1
1984,DC,37.3
1985,DC,37.4
1986,DC,34.6
1987,DC,35.8
1988,DC,37.5
1989,DC,38.7
1990,DC,36.4
1991,DC,35.1
1992,DC,35.0
1993,DC,35.7
1994,DC,37.8
1995,DC,39.2
1996,DC,40.4
1997,DC,42.5
1998,DC,40.3
1999,DC,40.0
2000,DC,41.9
2001,DC,42.7
2002,DC,44.1
2003,DC,43.0
2004,DC,45.6
2005,DC,45.8
2006,DC,45.9
2007,DC,47.2
2008,DC,44.1
2009,DC,44.9
2010,DC,45.6
2011,DC,44.8
2012,DC,45.0
2013,DC,44.6
2014,DC,41.5
2015,DC,40.4
2016,DC,40.8
2017,DC,40.3
2018,DC,39.9
2019,DC,40.2
2020,DC,42.5
2021,DC,42.3
2022,DC,42.3
2023,DC,40.2
1984,IA,71.3
1985,IA,69.9
1986,IA,69.2
1987,IA,67.7
1988,IA,68.3
1989,IA,69.6
1990,IA,70.7
1991,IA,68.4
1992,IA,66.3
1993,IA,68.2
1994,IA,70.1
1995,IA,71.4
1996,IA,72.8
1997,IA,72.7
1998,IA,72.1
1999,IA,73.9
2000,IA,75.2
2001,IA,76.6
2002,IA,73.9
2003,IA,73.4
2004,IA,73.2
2005,IA,73.9
2006,IA,74.0
2007,IA,73.7
2008,IA,74.0
2009,IA,72.4
2010,IA,71.1
2011,IA,71.2
2012,IA,70.2
2013,IA,69.8
2014,IA,69.4
2015,IA,68.8
2016,IA,70.0
2017,IA,70.0
2018,IA,68.9
2019,IA,69.5
2020,IA,72.1
2021,IA,72.1
2022,IA,73.8
2023,IA,71.8
1984,AZ,65.2
1985,AZ,64.7
1986,AZ,62.5
1987,AZ,63.3
1988,AZ,66.1
1989,AZ,63.9
1990,AZ,64.5
1991,AZ,66.3
1992,AZ,69.3
1993,AZ,69.1
1994,AZ,67.7
1995,AZ,62.9
1996,AZ,62.0
1997,AZ,63.0
1998,AZ,64.3
1999,AZ,66.3
2000,AZ,68.0
2001,AZ,68.1
2002,AZ,65.6
2003,AZ,67.0
2004,AZ,68.7
2005,AZ,71.1
2006,AZ,71.6
2007,AZ,70.4
2008,AZ,69.1
2009,AZ,68.9
2010,AZ,66.6
2011,AZ,66.0
2012,AZ,65.3
2013,AZ,65.1
2014,AZ,63.5
2015,AZ,61.7
2016,AZ,61.9
2017,AZ,64.4
2018,AZ,65.7
2019,AZ,65.8
2020,AZ,68.7
2021,AZ,65.2
2022,AZ,68.1
2023,AZ,69.7
